personid,age,gender
1710000501,9,2
1710000502,10,1
1710002401,6,3
1710002402,6,2
1710002403,1,4
1710005201,10,
1710005901,6,1
1710006001,10,1
1710010201,7,1
1710010801,6,2
1710010802,6,1
1710011101,9,2
1710011102,9,1
1710011103,4,1
1710011104,3,1
1710013701,7,2
1710014901,8,1
1710014902,8,2
1710014903,4,1
1710014904,3,1
1710017901,8,2
1710017902,9,1
1710017903,4,2
1710020301,7,2
1710020302,7,1
1710020303,1,1
1710020304,1,2
1710020801,6,2
1710020802,8,1
1710020803,3,2
1710022101,7,1
1710023101,10,1
1710023102,10,2
1710023301,10,1
1710023302,9,2
1710023801,11,1
1710023802,10,2
1710024801,7,1
1710025501,6,2
1710028001,7,2
1710029101,8,2
1710029102,5,2
1710030301,6,2
1710030302,6,1
1710032601,6,2
1710032602,6,1
1710034201,6,2
1710034202,6,2
1710037201,7,2
1710037202,7,1
1710041001,7,2
1710041101,6,1
1710041401,7,2
1710041402,7,1
1710041403,1,2
1710041801,7,1
1710041802,7,2
1710043301,6,2
1710043302,6,1
1710044101,9,2
1710044102,10,1
1710045801,8,1
1710047701,7,4
1710047702,6,4
1710047703,1,4
1710047704,1,4
1710048201,9,2
1710049201,10,2
1710050101,6,2
1710056301,7,1
1710056901,6,1
1710059001,5,2
1710062701,7,2
1710065201,6,1
1710065202,5,2
1710065203,1,2
1710065401,8,2
1710065402,8,1
1710065403,3,2
1710066301,6,1
1710067301,6,1
1710067302,-2,2
1710067501,8,2
1710068101,6,1
1710068102,6,2
1710071701,9,1
1710073901,8,2
1710073902,5,2
1710073903,12,2
1710076001,8,1
1710076002,8,2
1710076003,4,2
1710076004,5,1
1710076101,7,2
1710076102,7,1
1710076103,2,2
1710076104,2,1
1710078901,7,1
1710078902,7,2
1710078903,3,1
1710079401,7,2
1710079402,7,1
1710079403,7,1
1710080001,9,1
1710080701,9,1
1710081801,9,1
1710082201,9,1
1710082202,9,2
1710083401,5,2
1710083402,5,1
1710083601,8,1
1710083602,8,2
1710083603,2,2
1710083701,7,2
1710085901,6,1
1710085902,6,2
1710086801,8,2
1710086802,8,1
1710088901,6,2
1710089201,6,1
1710089202,6,2
1710090701,7,4
1710090801,8,1
1710092401,10,2
1710092402,7,1
1710092403,6,2
1710093901,7,1
1710093902,7,2
1710093903,1,1
1710093904,1,1
1710094201,7,2
1710095201,7,1
1710095202,5,2
1710095701,7,1
1710095702,7,1
1710096401,6,1
1710096402,6,2
1710098201,12,2
1710098401,8,2
1710098402,8,1
1710098403,5,1
1710098601,6,2
1710099201,7,1
1710101301,6,2
1710103101,6,1
1710103102,6,2
1710104201,8,1
1710106401,9,2
1710107901,5,2
1710108601,6,2
1710108602,6,1
1710108603,1,1
1710112801,9,1
1710112802,9,1
1710113001,7,2
1710117901,6,2
1710117902,6,1
1710121301,6,2
1710121302,6,1
1710122301,8,1
1710122302,8,2
1710122303,3,2
1710122304,3,2
1710122305,2,2
1710123601,10,1
1710124001,10,1
1710124002,10,2
1710125001,6,2
1710125002,6,1
1710126301,6,1
1710127501,9,2
1710129101,8,1
1710131901,6,1
1710132501,6,1
1710132502,6,2
1710133501,6,1
1710134401,10,2
1710134402,10,1
1710134403,3,1
1710137501,8,1
1710137502,7,2
1710137503,2,1
1710137504,1,2
1710137901,7,1
1710137902,7,2
1710137903,3,1
1710137904,2,1
1710138501,8,1
1710139101,8,2
1710139102,10,1
1710143601,10,1
1710143602,10,1
1710144801,11,2
1710144802,11,1
1710146901,7,1
1710146902,6,2
1710146903,3,1
1710148901,7,1
1710148902,7,2
1710150401,7,1
1710150402,7,2
1710150403,2,2
1710150404,1,2
1710151701,6,2
1710151702,5,1
1710154501,8,2
1710154502,4,2
1710159201,6,2
1710159202,6,1
1710159203,2,1
1710159204,1,1
1710160601,7,2
1710160602,8,2
1710161701,5,4
1710161901,6,1
1710162601,6,1
1710162602,6,2
1710163501,10,1
1710165701,11,1
1710166701,9,1
1710166702,9,2
1710166703,6,1
1710166704,5,1
1710168101,7,1
1710168102,7,2
1710168103,2,2
1710168104,2,1
1710168105,2,1
1710169201,6,2
1710169202,6,1
1710169701,6,2
1710169702,6,1
1710169703,1,1
1710169704,2,2
1710169801,7,2
1710169802,7,3
1710170401,7,1
1710170402,7,2
1710171401,7,1
1710172001,9,2
1710172002,11,1
1710174501,8,2
1710174502,5,2
1710174503,4,1
1710178501,8,1
1710179201,11,1
1710179202,10,2
1710185201,7,1
1710185202,7,2
1710185203,1,1
1710185204,1,2
1710185301,9,1
1710185302,9,2
1710185303,6,1
1710185501,6,1
1710186701,6,2
1710187301,6,1
1710187302,6,2
1710188201,9,1
1710188601,8,2
1710189801,6,2
1710189802,10,1
1710189803,9,2
1710190901,6,2
1710190902,7,1
1710190903,1,2
1710192201,6,2
1710192202,5,1
1710192801,5,2
1710192802,5,2
1710194401,6,1
1710194402,6,1
1710194701,6,1
1710194901,9,1
1710194902,6,1
1710195301,5,1
1710195302,6,1
1710195601,7,2
1710195602,7,2
1710198501,8,2
1710198502,8,1
1710198801,7,2
