personid,Primary_mode,age
1710000501,Household vehicle 1,9.0
1710000501,Household vehicle 1,9.0
1710000501,Household vehicle 1,9.0
1710000501,Household vehicle 1,9.0
1710000501,Household vehicle 1,9.0
1710000502,Household vehicle 1,10.0
1710000502,Household vehicle 1,10.0
1710000502,Household vehicle 1,10.0
1710002401,"Walk, jog, or wheelchair",6.0
1710002401,"Walk, jog, or wheelchair",6.0
1710002401,Household vehicle 1,6.0
1710002401,Household vehicle 1,6.0
1710002401,"Walk, jog, or wheelchair",6.0
1710002401,"Walk, jog, or wheelchair",6.0
1710002401,Bicycle or e-bike,6.0
1710002401,Bicycle or e-bike,6.0
1710002402,Household vehicle 1,6.0
1710002402,Household vehicle 1,6.0
1710002402,"Walk, jog, or wheelchair",6.0
1710002402,Bus (public transit),6.0
1710002403,Household vehicle 1,1.0
1710002403,Bicycle or e-bike,1.0
1710005201,Bus (public transit),10.0
1710005201,"Walk, jog, or wheelchair",10.0
1710005201,"Walk, jog, or wheelchair",10.0
1710005201,Bus (public transit),10.0
1710005201,Bus (public transit),10.0
1710005901,Private bus or shuttle,6.0
1710005901,Private bus or shuttle,6.0
1710005901,Private bus or shuttle,6.0
1710005901,Private bus or shuttle,6.0
1710005901,Private bus or shuttle,6.0
1710005901,Bus (public transit),6.0
1710005901,Bus (public transit),6.0
1710005901,Other household vehicle,6.0
1710005901,"Other hired service (e.g., Lyft, Uber)",6.0
1710005901,Private bus or shuttle,6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,Private bus or shuttle,6.0
1710005901,Private bus or shuttle,6.0
1710005901,Private bus or shuttle,6.0
1710005901,Private bus or shuttle,6.0
1710005901,Private bus or shuttle,6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,Private bus or shuttle,6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,Bus (public transit),6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,Bus (public transit),6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,"Walk, jog, or wheelchair",6.0
1710005901,Private bus or shuttle,6.0
1710005901,Private bus or shuttle,6.0
1710005901,Private bus or shuttle,6.0
1710006001,Household vehicle 1,10.0
1710006001,Household vehicle 1,10.0
1710006001,Household vehicle 1,10.0
1710006001,Household vehicle 1,10.0
1710006001,Household vehicle 1,10.0
1710010201,Household vehicle 1,7.0
1710010201,Household vehicle 1,7.0
1710010201,Household vehicle 1,7.0
1710010201,Household vehicle 1,7.0
1710010201,Household vehicle 1,7.0
1710010801,Private bus or shuttle,6.0
1710010801,Private bus or shuttle,6.0
1710010802,"Walk, jog, or wheelchair",6.0
1710010802,"Walk, jog, or wheelchair",6.0
1710011101,Household vehicle 1,9.0
1710011101,Household vehicle 1,9.0
1710011101,Household vehicle 1,9.0
1710011101,Household vehicle 1,9.0
1710011101,Household vehicle 1,9.0
1710011101,Household vehicle 1,9.0
1710011102,Household vehicle 2,9.0
1710011102,Household vehicle 2,9.0
1710011102,Household vehicle 2,9.0
1710011102,Household vehicle 1,9.0
1710011102,Household vehicle 1,9.0
1710011103,"Walk, jog, or wheelchair",4.0
1710011103,"Walk, jog, or wheelchair",4.0
1710011103,"Walk, jog, or wheelchair",4.0
1710011103,"Walk, jog, or wheelchair",4.0
1710011104,Bicycle or e-bike,3.0
1710011104,"Walk, jog, or wheelchair",3.0
1710011104,"Walk, jog, or wheelchair",3.0
1710013701,"Walk, jog, or wheelchair",7.0
1710013701,"Walk, jog, or wheelchair",7.0
1710013701,"Walk, jog, or wheelchair",7.0
1710013701,"Walk, jog, or wheelchair",7.0
1710014901,Vanpool vehicle,8.0
1710014901,Vanpool vehicle,8.0
1710014902,Household vehicle 2,8.0
1710014902,Household vehicle 2,8.0
1710014903,Bus (public transit),4.0
1710014903,Bus (public transit),4.0
1710014904,Household vehicle 2,3.0
1710014904,"Walk, jog, or wheelchair",3.0
1710017901,Household vehicle 1,8.0
1710017902,Bicycle or e-bike,9.0
1710017903,Household vehicle 2,4.0
1710020301,Household vehicle 1,7.0
1710020301,Household vehicle 1,7.0
1710020301,Household vehicle 1,7.0
1710020301,Household vehicle 1,7.0
1710020302,Household vehicle 2,7.0
1710020302,Household vehicle 2,7.0
1710020303,Household vehicle 1,1.0
1710020303,Household vehicle 1,1.0
1710020304,Household vehicle 1,1.0
1710020304,Household vehicle 1,1.0
1710020304,Household vehicle 1,1.0
1710020304,Household vehicle 1,1.0
1710020801,Household vehicle 1,6.0
1710020801,Household vehicle 1,6.0
1710020801,Household vehicle 1,6.0
1710020801,Household vehicle 1,6.0
1710020801,Household vehicle 1,6.0
1710020801,Household vehicle 1,6.0
1710020801,Household vehicle 1,6.0
1710020801,Household vehicle 1,6.0
1710020801,Household vehicle 1,6.0
